Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
El Salvador,SLV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,91.1193321659,92.3860985869,93.6268378556,94.8416789907,96.0303446016,97.0638562515,97.3883749715,..,..,..
El Salvador,SLV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,61.6296099956,62.8538913279,63.671514928,63.9264758629,64.1785981036,64.4255187244,64.6658178126,..,..,..
Equatorial Guinea,GNQ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,50.150527254,50.3291758428,50.7051296928,51.0835630478,51.4650924109,51.849718417,..,..,..,..
Eritrea,ERI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Estonia,EST,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.5722530826,99.6172946194,99.6635589369,99.709412647,99.710536805,99.7116540274,99.7128268353,..,..,..
Estonia,EST,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,95.1006134944,94.8269557959,94.5541718228,94.2807054558,93.9647955104,93.6488719039,93.3329932233,..,..,..
Eswatini,SWZ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,63.8233123478,64.8642108719,65.8969784322,66.9212779896,67.9375222075,68.9482924345,69.0086551447,..,..,..
Eswatini,SWZ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,34.3226768814,35.5569376351,36.7398330618,37.8814904844,38.9817333851,40.0414232119,41.0599521348,..,..,..
Ethiopia,ETH,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,8.3034622639,8.7765356108,9.2661968587,9.7784067735,10.3124430679,10.8682588688,11.4447731633,..,..,..
Faroe Islands,FRO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100,100,100,100,100,..,..,..
Faroe Islands,FRO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.0420477538,93.9815032207,93.9213392097,93.8618196116,93.8029451963,93.7446242001,93.7909192828,..,..,..
Fiji,FJI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Finland,FIN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100.0000011325,100.0000045103,99.9999977547,100,100.0000011134,100.0000022182,100.0000022101,..,..,..
Finland,FIN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.996668334,99.5895254374,99.6281227575,99.6293750838,99.6306260859,99.6318772651,99.6331271382,..,..,..
France,FRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9821779188,99.988961152,99.9955853466,99.9999984787,100.0000030301,100.0000015089,100.0000015029,..,..,..
France,FRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,97.4168037682,97.4933368984,97.5697243354,97.643962068,97.7138981772,97.7838283547,97.8537600128,..,..,..
French Polynesia,PYF,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100,100,100,100,100,..,..,..
French Polynesia,PYF,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,84.2953839413,84.5558662874,84.7921999403,85.0029338177,85.4748018423,85.6270468713,85.7710036557,..,..,..
Gabon,GAB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
